Termino,D#,F#
a,1,1
a,2,1
ahora,1,1
ahí,2,1
alcanza,1,1
alguien,1,1
baby,1,1
buscaste,1,1
canción,2,1
capitales,2,1
como,1,1
con,1,1
conocer,1,1
corazón,1,1
corazón,2,1
corto,1,1
cubre,2,1
de,1,1
de,2,1
descaro,1,1
despegar,1,1
dice,2,1
diversión,1,1
el,1,1
en,2,1
eras,1,1
es,1,2
es,2,1
está,2,1
fama,2,1
fue,1,1
grasa,2,1
hay,2,2
ideales,2,1
importa,2,1
importan,2,1
improvisar,1,1
la,1,1
la,2,2
las,2,1
llorar,2,1
lo,1,1
lo,2,2
lugar,2,1
me,1,1
me,2,1
mejor,1,1
mismo,2,1
muy,1,1
mí,2,1
nada,2,1
necesitas,1,1
no,1,2
no,2,1
nuevo,1,1
oportunidad,2,1
otro,2,1
parte,1,1
pasó,2,1
por,2,1
propio,1,1
que,2,5
quien,1,1
qué,2,1
rey,1,1
show,1,1
simple,1,1
solo,1,1
solía,1,1
te,1,2
tenes,2,1
tiempo,1,1
tienes,1,1
tienes,2,1
todo,2,2
tu,1,1
tu,2,4
tus,2,1
un,1,3
vamos,2,2
vengador,1,2
y,1,1
ya,1,1
ya,2,1
yo,1,1
