Termino,TD#,FT#,#RR
a,2,2,0
ahora,1,1,2
ahí,2,1,3
alcanza,1,1,4
alguien,1,1,5
baby,1,1,6
buscaste,1,1,7
canción,2,1,8
capitales,2,1,9
como,1,1,10
con,1,1,11
conocer,1,1,12
corazón,2,2,13
corto,1,1,15
cubre,2,1,16
de,2,2,17
descaro,1,1,19
despegar,1,1,20
dice,2,1,21
diversión,1,1,22
el,1,1,23
en,2,1,24
eras,1,1,25
es,2,3,26
está,2,1,28
fama,2,1,29
fue,1,1,30
grasa,2,1,31
hay,2,2,32
ideales,2,1,33
importa,2,1,34
importan,2,1,35
improvisar,1,1,36
la,2,3,37
las,2,1,39
llorar,2,1,40
lo,2,3,41
lugar,2,1,43
me,2,2,44
mejor,1,1,46
mismo,2,1,47
muy,1,1,48
mí,2,1,49
nada,2,1,50
necesitas,1,1,51
no,2,3,52
nuevo,1,1,54
oportunidad,2,1,55
otro,2,1,56
parte,1,1,57
pasó,2,1,58
por,2,1,59
propio,1,1,60
que,2,5,61
quien,1,1,62
qué,2,1,63
rey,1,1,64
show,1,1,65
simple,1,1,66
solo,1,1,67
solía,1,1,68
te,1,2,69
tenes,2,1,70
tiempo,1,1,71
tienes,2,2,72
todo,2,2,74
tu,2,5,75
tus,2,1,77
un,1,3,78
vamos,2,2,79
vengador,1,2,80
y,1,1,81
ya,2,2,82
yo,1,1,84
